hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
5,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
23,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
84,84,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
47,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
53,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
51,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
53,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
36,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
14,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,28,Room Temperature,Not Applicable,Normal,Dull/Dry,2
3,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
45,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
82,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
11,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
96,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
64,64,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
35,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
29,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
85,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
48,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
16,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
82,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
87,87,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
75,75,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
49,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
75,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,91,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
2,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,35,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
23,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
89,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
32,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
28,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
7,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
69,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
53,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
1,1,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
1,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
78,78,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
12,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
15,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
37,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
45,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
82,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
3,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
86,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
33,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
28,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
11,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
34,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
10,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
51,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
26,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
76,76,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
14,14,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
36,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,40,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
66,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
42,42,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
4,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
6,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
62,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
75,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
22,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
58,58,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
45,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
18,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
59,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
49,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
27,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
52,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
75,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
41,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
42,42,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
50,50,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
89,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
63,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
42,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
43,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
15,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
58,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
61,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
18,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
36,36,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
91,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
69,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
10,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
6,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
90,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,40,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
71,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
56,56,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
40,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
83,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
70,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
96,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
16,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
65,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
73,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
34,34,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
52,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,55,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
19,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
2,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
11,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,2
90,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
81,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
54,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
38,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,54,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
93,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
42,42,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
14,14,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
82,82,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
28,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
45,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
18,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,10,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
4,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
28,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
18,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,86,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
75,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
18,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
9,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
73,73,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
38,38,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
15,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
66,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
5,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
74,74,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
13,13,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
55,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
30,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
58,58,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
59,59,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
3,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
63,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
66,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
83,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
13,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
29,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
6,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,51,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
37,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
62,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
30,30,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
84,84,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
26,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
59,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
84,84,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
42,42,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
43,43,Room Temperature,Not Applicable,Normal,Dull/Dry,2
64,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
79,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
57,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
90,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
86,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
82,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
51,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,63,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,86,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
48,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
60,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
49,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
21,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
76,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
57,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
72,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
94,94,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
73,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
66,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
94,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,3,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,1
23,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,22,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
47,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
3,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
86,86,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
87,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
80,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
16,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
55,55,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
72,5,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
4,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
66,66,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
88,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
15,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
48,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
49,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
74,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
34,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
65,65,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
81,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
78,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
73,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
85,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
83,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,5,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
88,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
58,58,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
16,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
56,56,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
21,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
88,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
7,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
47,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
87,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
71,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
25,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
68,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
3,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
41,41,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
56,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
15,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
6,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,20,Room Temperature,Not Applicable,Normal,Dull/Dry,2
71,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
51,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
84,84,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
21,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
47,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
44,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
86,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,76,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
71,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
71,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,17,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
36,36,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
31,31,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
74,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
6,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
54,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
42,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,21,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
91,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
40,40,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
65,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
11,11,Room Temperature,Not Applicable,Normal,Dull/Dry,2
79,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
81,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
56,56,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
51,51,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
93,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
76,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
16,16,Room Temperature,Not Applicable,Normal,Dull/Dry,2
83,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,67,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
83,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
24,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
94,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,21,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
83,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
27,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
79,79,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
75,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
72,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
43,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
31,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,39,Room Temperature,Not Applicable,Normal,Dull/Dry,2
34,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
24,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
22,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
60,60,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
39,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
36,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
63,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
80,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
21,21,Room Temperature,Not Applicable,Normal,Dull/Dry,2
38,38,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
72,72,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
68,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
84,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
